#Class,Base Class,Category,Attachments
>>MODDED-STUFF,X,X,X
>Spurgle,X,X,X
Spur_LW_Bag_ColorBase,Clothing,XLargeBag,X
Spur_MilBag_ColorBase,Clothing,XLargeBag,X
Spur_CamelBag_ColorBase,Clothing,MediumBag,X
Spur_Treker_ColorBase,Clothing,SmallBag,Chemlight:WalkieTalkie:Belt_Left
Spur_KnifeSheath,Clothing,Sheath,X
>Windstrides,X,X,X
Canvas_Backpack_Base,Clothing,MediumBag,X
Fingerless_Gloves,Clothing,Gloves,X
FlipFlops_Colorbase,Clothing,Shoes,X
High_Knee_Sneakers,Clothing,Shoes,X
Kneepads_Jeans_Base,Clothing,Pants,X
Layered_Shirt_Base,Clothing,Shirt,X
Leggings_ColorBase,Clothing,Pants,X
Medium_Sleeves_Shirt,Clothing,Shirt,X
Military_Sweater,Clothing,Shirt,X
PMK_5A_Gas_Mask,Clothing,Gasmask,X
WindstridePoncho,Clothing,Hat,X
Shemagh_ColorBase,Clothing,Hat,X
SK8_Sneakers_ColorBase,Clothing,Shoes,X
Skinny_Jeans_ColorBase,Clothing,Pants,X
SkullMask,Clothing,LargeMask,X
Slouch_Hat_ColorBase,Clothing,Hat,X
Winter_Parka_Base,Clothing,Jacket,X
>Luna,X,X,X
CivilianBelt_ColorBase,Clothing,Belt,X
BomberJacket_LunaBase,Clothing,Jacket,X
PlateCarrier_OD,Clothing,PlateCarrier,X
PlateCarrier_Grey,Clothing,PlateCarrier,X
PlateCarrier_Black,Clothing,PlateCarrier,X
PlateCarrier_BDU,Clothing,PlateCarrier,X
>MSP,X,X,X
Msp_BoxingShorts_ColorBase,Clothing,Pants,X
Msp_BoxingGloves_ColorBase,Clothing,Gloves,X
Msp_BoxingHelmet_ColorBase,Clothing,LargeHat,X
Msp_BunnyEarsHeadband,Clothing,Hat,X
Msp_MedicBag,Clothing,MediumBag,Belt_Left:Rope
Msp_Slouchie_ColorBase,Clothing,Hat,X
Msp_DuffleBag_ColorBase,Clothing,MediumBag,Belt_Left:Rope
Msp_ArmyBag_ColourBase,Clothing,SmallBag,Belt_Left:Rope
Msp_BaseballCap_Base,Clothing,Hat,X
>>VANILLA-STUFF,X,X,X
>Backpacks,X,X,X
CourierBag,Clothing,XSmallBag,WalkieTalkie:Rope
FurCourierBag,Clothing,XSmallBag,WalkieTalkie:Rope
SmershBag,Clothing,XSmallBag,Chemlight:WalkieTalkie
ChildBag_ColorBase,Clothing,XSmallBag,Chemlight:WalkieTalkie
TaloonBag_ColorBase,Clothing,SmallBag,Chemlight:WalkieTalkie:Belt_Left
ImprovisedBag,Clothing,SmallBag,Chemlight:WalkieTalkie:Rope
FurImprovisedBag,Clothing,SmallBag,Chemlight:WalkieTalkie:Rope
